route,direction,point,latitude,longitude
Kandy-Digana,Kandy-Digana,Kandy,7.292462226,80.6349778
Kandy-Digana,Kandy-Digana,Wales Park,7.291186017,80.63766185
Kandy-Digana,Kandy-Digana,Devon TP,7.290493832,80.63851979
Kandy-Digana,Kandy-Digana,Malwathu,7.290465897,80.64014521
Kandy-Digana,Kandy-Digana,Hotel Suisse,7.289337485,80.64368977
Kandy-Digana,Kandy-Digana,Mahamaya,7.287808833,80.64584744
Kandy-Digana,Kandy-Digana,Children Park,7.28810366,80.64717275
Kandy-Digana,Kandy-Digana,Mahamaya Primary,7.290332142,80.64426108
Kandy-Digana,Kandy-Digana,Malabar,7.291518808,80.64400148
Kandy-Digana,Kandy-Digana,Dharmaraja,7.290777115,80.64661942
Kandy-Digana,Kandy-Digana,Lewella junction,7.294365356,80.64999333
Kandy-Digana,Kandy-Digana,Thalwatta,7.292676172,80.65345272
Kandy-Digana,Kandy-Digana,Thennekumbura Mosque,7.286566812,80.66026012
Kandy-Digana,Kandy-Digana,Thennekumbura Filling Station,7.284603739,80.66347631
Kandy-Digana,Kandy-Digana,Thennekumbura Bridge,7.281866037,80.66603436
Kandy-Digana,Kandy-Digana,Kirimatiya Junction,7.281562856,80.67061592
Kandy-Digana,Kandy-Digana,Kandos,7.280937121,80.67341645
Kandy-Digana,Kandy-Digana,Soorya,7.279903446,80.67425157
Kandy-Digana,Kandy-Digana,Jayabima,7.279887348,80.67613746
Kandy-Digana,Kandy-Digana,Narampotha Filling Station,7.279117007,80.6794493
Kandy-Digana,Kandy-Digana,Ruhunu Foods,7.279327249,80.68147652
Kandy-Digana,Kandy-Digana,Police College,7.280653031,80.68381403
Kandy-Digana,Kandy-Digana,Warapitiya,7.281421546,80.68600012
Kandy-Digana,Kandy-Digana,Warapitiya Agriculture,7.281988845,80.69087461
Kandy-Digana,Kandy-Digana,Alen Hardware,7.281440809,80.69256596
Kandy-Digana,Kandy-Digana,Provincial Council,7.281322369,80.696687
Kandy-Digana,Kandy-Digana,Singha Super,7.282566525,80.69740959
Kandy-Digana,Kandy-Digana,Rifle Brigade,7.283889934,80.70168101
Kandy-Digana,Kandy-Digana,Pachchakaatuwa,7.2847783,80.70557703
Kandy-Digana,Kandy-Digana,Balagolla Shanika Hotel,7.285535876,80.70820228
Kandy-Digana,Kandy-Digana,Balagolla Kovil,7.287349019,80.71400511
Kandy-Digana,Kandy-Digana,Balagolla Mosque,7.28498468,80.71664628
Kandy-Digana,Kandy-Digana,AMW,7.283314319,80.71944382
Kandy-Digana,Kandy-Digana,BOI,7.284054608,80.72204417
Kandy-Digana,Kandy-Digana,Kengalla,7.291726007,80.72143025
Kandy-Digana,Kandy-Digana,Kengalla Primary School,7.292669268,80.7226589
Kandy-Digana,Kandy-Digana,Kengalla School,7.293510866,80.72395768
Kandy-Digana,Kandy-Digana,Namal Mawatha,7.294177599,80.72593652
Kandy-Digana,Kandy-Digana,Digana Village,7.295838114,80.72989461
Kandy-Digana,Kandy-Digana,Digana,7.299102491,80.7347169
Kandy-Digana,Digana-Kandy,Digana,7.299102491,80.7347169
Kandy-Digana,Digana-Kandy,Senkadagala Finance,7.297381583,80.73164651
Kandy-Digana,Digana-Kandy,Digana Village,7.295838114,80.72989461
Kandy-Digana,Digana-Kandy,Namal Mawatha,7.294177599,80.72593652
Kandy-Digana,Digana-Kandy,Kengalla School,7.293526647,80.72398052
Kandy-Digana,Digana-Kandy,Kengalla Primary,7.292629524,80.72263167
Kandy-Digana,Digana-Kandy,Kengalla,7.291726007,80.72143025
Kandy-Digana,Digana-Kandy,Ayanthini Traders,7.289202964,80.72182382
Kandy-Digana,Digana-Kandy,BOI,7.284054608,80.72204417
Kandy-Digana,Digana-Kandy,AMW,7.283069563,80.71973591
Kandy-Digana,Digana-Kandy,Balagolla Pansala,7.284940781,80.71666237
Kandy-Digana,Digana-Kandy,Balagolla Kovil,7.287349019,80.71400511
Kandy-Digana,Digana-Kandy,Balagolla,7.288573879,80.7133065
Kandy-Digana,Digana-Kandy,Shanika Halt,7.287251546,80.70887997
Kandy-Digana,Digana-Kandy,Pachchakaatuwa,7.2847783,80.70557703
Kandy-Digana,Digana-Kandy,Ayurweda,7.283627098,80.70131893
Kandy-Digana,Digana-Kandy,Singha Super,7.282716109,80.69757283
Kandy-Digana,Digana-Kandy,Clock Tower,7.280431233,80.69569789
Kandy-Digana,Digana-Kandy,Kundasale,7.281193324,80.69306022
Kandy-Digana,Digana-Kandy,Warapitiya Agriculture,7.281990274,80.6904613
Kandy-Digana,Digana-Kandy,Warapitiya,7.281488081,80.68671983
Kandy-Digana,Digana-Kandy,Police College,7.28039581,80.68345349
Kandy-Digana,Digana-Kandy,Ruhunu Foods,7.279500834,80.68163763
Kandy-Digana,Digana-Kandy,Narampotha Filling Station,7.279115229,80.679388
Kandy-Digana,Digana-Kandy,Narampotha,7.279799826,80.67659381
Kandy-Digana,Digana-Kandy,Mahawatta Junction,7.279903446,80.67425157
Kandy-Digana,Digana-Kandy,Kandos,7.280937121,80.67341645
Kandy-Digana,Digana-Kandy,Kirimatiya Junction,7.281562856,80.67061592
Kandy-Digana,Digana-Kandy,Thennekumbura Bridge,7.281866037,80.66603436
Kandy-Digana,Digana-Kandy,Thennekumbura,7.285611081,80.66173477
Kandy-Digana,Digana-Kandy,Thennekumbura Sub Post Office,7.286904695,80.65916997
Kandy-Digana,Digana-Kandy,Thalwatta,7.291486585,80.65461691
Kandy-Digana,Digana-Kandy,UDF,7.293236177,80.65292314
Kandy-Digana,Digana-Kandy,Thalwatta 2,7.29452693,80.651655
Kandy-Digana,Digana-Kandy,Boowelikada,7.293191008,80.64919526
Kandy-Digana,Digana-Kandy,Dharmaraja,7.290777115,80.64661942
Kandy-Digana,Digana-Kandy,Malabar,7.29154927,80.64392839
Kandy-Digana,Digana-Kandy,Mahamaya Primary,7.290190269,80.64463829
Kandy-Digana,Digana-Kandy,Children Park,7.286916411,80.64734943
Kandy-Digana,Digana-Kandy,Mahamaya,7.287333926,80.64552826
Kandy-Digana,Digana-Kandy,Hotel Suisse,7.289341031,80.64368204
Kandy-Digana,Digana-Kandy,Malwathu,7.290314247,80.63987431
Kandy-Digana,Digana-Kandy,Kandy,7.291618577,80.63484864
